0023 \#
27A4 \ding{228}
27A5 \ding{229}
27A6 \ding{230}
27A7 \ding{231}
27A8 \ding{232}
27A9 \ding{233}
27AA \ding{234}
27AB \ding{235}
27AC \ding{236}
27AD \ding{237}
27AE \ding{238}
27AF \ding{239}
27B1 \ding{241}
27B2 \ding{242}
27B3 \ding{243}
27B4 \ding{244}
27B5 \ding{245}
27B6 \ding{246}
27B7 \ding{247}
27B8 \ding{248}
27B9 \ding{249}
27BA \ding{250}
27BB \ding{251}
27BC \ding{252}
27BD \ding{253}
27BE \ding{254}
27F5 \longleftarrow 
27F6 \longrightarrow 
27F7 \longleftrightarrow 
27F8 \Longleftarrow 
27F9 \Longrightarrow 
27FA \Longleftrightarrow 
27FC \longmapsto 
27FF \sim\joinrel\leadsto
2905 \ElsevierGlyph{E212}
2912 \UpArrowBar 
2913 \DownArrowBar 
2923 \ElsevierGlyph{E20C}
2924 \ElsevierGlyph{E20D}
2925 \ElsevierGlyph{E20B}
2926 \ElsevierGlyph{E20A}
2927 \ElsevierGlyph{E211}
2928 \ElsevierGlyph{E20E}
2929 \ElsevierGlyph{E20F}
292A \ElsevierGlyph{E210}
2933 \ElsevierGlyph{E21C}
2936 \ElsevierGlyph{E21A}
2937 \ElsevierGlyph{E219}
2940 \Elolarr 
2941 \Elorarr 
2942 \ElzRlarr 
2944 \ElzrLarr 
2947 \Elzrarrx 
294E \LeftRightVector 
294F \RightUpDownVector 
2950 \DownLeftRightVector 
2951 \LeftUpDownVector 
2952 \LeftVectorBar 
2953 \RightVectorBar 
2954 \RightUpVectorBar 
2955 \RightDownVectorBar 
2956 \DownLeftVectorBar 
2957 \DownRightVectorBar 
2958 \LeftUpVectorBar 
2959 \LeftDownVectorBar 
295A \LeftTeeVector 
295B \RightTeeVector 
295C \RightUpTeeVector 
295D \RightDownTeeVector 
295E \DownLeftTeeVector 
295F \DownRightTeeVector 
2960 \LeftUpTeeVector 
2961 \LeftDownTeeVector 
296E \UpEquilibrium 
296F \ReverseUpEquilibrium 
2970 \RoundImplies 
297C \ElsevierGlyph{E214}
297D \ElsevierGlyph{E215}
2980 \Elztfnc 
2985 \ElsevierGlyph{3018}
2986 \Elroang 
2993 <\kern-0.58em(
2994 \ElsevierGlyph{E291}
2999 \Elzddfnc 
299C \Angle 
29A0 \Elzlpargt 
29B5 \ElsevierGlyph{E260}
29B6 \ElsevierGlyph{E61B}
29CA \ElzLap 
29CB \Elzdefas 
29CF \LeftTriangleBar 
29D0 \RightTriangleBar 
29DC \ElsevierGlyph{E372}
29EB \blacklozenge 
29F4 \RuleDelayed 
2A04 \Elxuplus 
2A05 \ElzThr 
2A06 \Elxsqcup 
2A07 \ElzInf 
2A08 \ElzSup 
2A0D \ElzCint 
2A0F \clockoint 
2A10 \ElsevierGlyph{E395}
2A16 \sqrint 
2A25 \ElsevierGlyph{E25A}
2A2A \ElsevierGlyph{E25B}
2A2D \ElsevierGlyph{E25C}
2A2E \ElsevierGlyph{E25D}
2A2F \ElzTimes 
2A34 \ElsevierGlyph{E25E}
2A35 \ElsevierGlyph{E25E}
2A3C \ElsevierGlyph{E259}
2A3F \amalg 
2A53 \ElzAnd 
2A54 \ElzOr 
2A55 \ElsevierGlyph{E36E}
2A56 \ElOr 
2A5E \perspcorrespond 
2A5F \Elzminhat 
2A63 \ElsevierGlyph{225A}
2A6E \stackrel*=
2A75 \Equal 
2A7D \leqslant 
2A7E \geqslant 
2A85 \lessapprox 
2A86 \gtrapprox 
2A87 \lneq 
2A88 \gneq 
2A89 \lnapprox 
2A8A \gnapprox 
2A8B \lesseqqgtr 
2A8C \gtreqqless 
2A95 \eqslantless 
2A96 \eqslantgtr 
2A9D \Pisymbol{ppi020}{117}
2A9E \Pisymbol{ppi020}{105}
2AA1 \NestedLessLess 
2AA2 \NestedGreaterGreater 
2AAF \preceq 
2AB0 \succeq 
2AB5 \precneqq 
2AB6 \succneqq 
2AB7 \precapprox 
2AB8 \succapprox 
2AB9 \precnapprox 
2ABA \succnapprox 
2AC5 \subseteqq 
2AC6 \supseteqq 
2ACB \subsetneqq 
2ACC \supsetneqq 
2AEB \ElsevierGlyph{E30D}
2AF6 \Elztdcol 
2AFD {/\!\!/}
300A \ElsevierGlyph{300A}
300B \ElsevierGlyph{300B}
3018 \ElsevierGlyph{3018}
3019 \ElsevierGlyph{3019}
301A \openbracketleft 
301B \openbracketright 
FB00 ff
FB01 fi
FB02 fl
FB03 ffi
FB04 ffl
D400 \mathbfA
D401 \mathbfB
D402 \mathbfC
D403 \mathbfD
D404 \mathbfE
D405 \mathbfF
D406 \mathbfG
D407 \mathbfH
D408 \mathbfI
D409 \mathbfJ
D40A \mathbfK
D40B \mathbfL
D40C \mathbfM
D40D \mathbfN
D40E \mathbfO
D40F \mathbfP
D410 \mathbfQ
D411 \mathbfR
D412 \mathbfS
D413 \mathbfT
D414 \mathbfU
D415 \mathbfV
D416 \mathbfW
D417 \mathbfX
D418 \mathbfY
D419 \mathbfZ
D41A \mathbfa
D41B \mathbfb
D41C \mathbfc
D41D \mathbfd
D41E \mathbfe
D41F \mathbff
D420 \mathbfg
D421 \mathbfh
D422 \mathbfi
D423 \mathbfj
D424 \mathbfk
D425 \mathbfl
D426 \mathbfm
D427 \mathbfn
D428 \mathbfo
D429 \mathbfp
D42A \mathbfq
D42B \mathbfr
D42C \mathbfs
D42D \mathbft
D42E \mathbfu
D42F \mathbfv
D430 \mathbfw
D431 \mathbfx
D432 \mathbfy
D433 \mathbfz
D434 \mathslA
D435 \mathslB
D436 \mathslC
D437 \mathslD
D438 \mathslE
D439 \mathslF
D43A \mathslG
D43B \mathslH
D43C \mathslI
D43D \mathslJ
D43E \mathslK
D43F \mathslL
D440 \mathslM
D441 \mathslN
D442 \mathslO
D443 \mathslP
D444 \mathslQ
D445 \mathslR
D446 \mathslS
D447 \mathslT
D448 \mathslU
D449 \mathslV
D44A \mathslW
D44B \mathslX
D44C \mathslY
D44D \mathslZ
D44E \mathsla
D44F \mathslb
D450 \mathslc
D451 \mathsld
D452 \mathsle
D453 \mathslf
D454 \mathslg
D456 \mathsli
D457 \mathslj
D458 \mathslk
D459 \mathsll
D45A \mathslm
D45B \mathsln
D45C \mathslo
D45D \mathslp
D45E \mathslq
D45F \mathslr
D460 \mathsls
D461 \mathslt
D462 \mathslu
D463 \mathslv
D464 \mathslw
D465 \mathslx
D466 \mathsly
D467 \mathslz
D468 \mathbitA
D469 \mathbitB
D46A \mathbitC
D46B \mathbitD
D46C \mathbitE
D46D \mathbitF
D46E \mathbitG
D46F \mathbitH
D470 \mathbitI
D471 \mathbitJ
D472 \mathbitK
D473 \mathbitL
D474 \mathbitM
D475 \mathbitN
D476 \mathbitO
D477 \mathbitP
D478 \mathbitQ
D479 \mathbitR
D47A \mathbitS
D47B \mathbitT
D47C \mathbitU
D47D \mathbitV
D47E \mathbitW
D47F \mathbitX
D480 \mathbitY
D481 \mathbitZ
D482 \mathbita
D483 \mathbitb
D484 \mathbitc
D485 \mathbitd
D486 \mathbite
D487 \mathbitf
D488 \mathbitg
D489 \mathbith
D48A \mathbiti
D48B \mathbitj
D48C \mathbitk
D48D \mathbitl
D48E \mathbitm
D48F \mathbitn
D490 \mathbito
D491 \mathbitp
D492 \mathbitq
D493 \mathbitr
D494 \mathbits
D495 \mathbitt
D496 \mathbitu
D497 \mathbitv
D498 \mathbitw
D499 \mathbitx
D49A \mathbity
D49B \mathbitz
D49C \mathscrA
D49E \mathscrC
D49F \mathscrD
D4A2 \mathscrG
D4A5 \mathscrJ
D4A6 \mathscrK
D4A9 \mathscrN
D4AA \mathscrO
D4AB \mathscrP
D4AC \mathscrQ
D4AE \mathscrS
D4AF \mathscrT
D4B0 \mathscrU
D4B1 \mathscrV
D4B2 \mathscrW
D4B3 \mathscrX
D4B4 \mathscrY
D4B5 \mathscrZ
D4B6 \mathscra
D4B7 \mathscrb
D4B8 \mathscrc
D4B9 \mathscrd
D4BB \mathscrf
D4BD \mathscrh
D4BE \mathscri
D4BF \mathscrj
D4C0 \mathscrk
D4C1 \mathscrl
D4C2 \mathscrm
D4C3 \mathscrn
D4C5 \mathscrp
D4C6 \mathscrq
D4C7 \mathscrr
D4C8 \mathscrs
D4C9 \mathscrt
D4CA \mathscru
D4CB \mathscrv
D4CC \mathscrw
D4CD \mathscrx
D4CE \mathscry
D4CF \mathscrz
D4D0 \mathmitA
D4D1 \mathmitB
D4D2 \mathmitC
D4D3 \mathmitD
D4D4 \mathmitE
D4D5 \mathmitF
D4D6 \mathmitG
D4D7 \mathmitH
D4D8 \mathmitI
D4D9 \mathmitJ
D4DA \mathmitK
D4DB \mathmitL
D4DC \mathmitM
D4DD \mathmitN
D4DE \mathmitO
D4DF \mathmitP
D4E0 \mathmitQ
D4E1 \mathmitR
D4E2 \mathmitS
D4E3 \mathmitT
D4E4 \mathmitU
D4E5 \mathmitV
D4E6 \mathmitW
D4E7 \mathmitX
D4E8 \mathmitY
D4E9 \mathmitZ
D4EA \mathmita
D4EB \mathmitb
D4EC \mathmitc
D4ED \mathmitd
D4EE \mathmite
D4EF \mathmitf
D4F0 \mathmitg
D4F1 \mathmith
D4F2 \mathmiti
D4F3 \mathmitj
D4F4 \mathmitk
D4F5 \mathmitl
D4F6 \mathmitm
D4F7 \mathmitn
D4F8 \mathmito
D4F9 \mathmitp
D4FA \mathmitq
D4FB \mathmitr
D4FC \mathmits
D4FD \mathmitt
D4FE \mathmitu
D4FF \mathmitv
D500 \mathmitw
D501 \mathmitx
D502 \mathmity
D503 \mathmitz
D504 \mathfrakA
D505 \mathfrakB
D507 \mathfrakD
D508 \mathfrakE
D509 \mathfrakF
D50A \mathfrakG
D50D \mathfrakJ
D50E \mathfrakK
D50F \mathfrakL
D510 \mathfrakM
D511 \mathfrakN
D512 \mathfrakO
D513 \mathfrakP
D514 \mathfrakQ
D516 \mathfrakS
D517 \mathfrakT
D518 \mathfrakU
D519 \mathfrakV
D51A \mathfrakW
D51B \mathfrakX
D51C \mathfrakY
D51E \mathfraka
D51F \mathfrakb
D520 \mathfrakc
D521 \mathfrakd
D522 \mathfrake
D523 \mathfrakf
D524 \mathfrakg
D525 \mathfrakh
D526 \mathfraki
D527 \mathfrakj
D528 \mathfrakk
D529 \mathfrakl
D52A \mathfrakm
D52B \mathfrakn
D52C \mathfrako
D52D \mathfrakp
D52E \mathfrakq
D52F \mathfrakr
D530 \mathfraks
D531 \mathfrakt
D532 \mathfraku
D533 \mathfrakv
D534 \mathfrakw
D535 \mathfrakx
D536 \mathfraky
D537 \mathfrakz
D538 \mathbbA
D539 \mathbbB
D53B \mathbbD
D53C \mathbbE
D53D \mathbbF
D53E \mathbbG
D540 \mathbbI
D541 \mathbbJ
D542 \mathbbK
D543 \mathbbL
D544 \mathbbM
D546 \mathbbO
D54A \mathbbS
D54B \mathbbT
D54C \mathbbU
D54D \mathbbV
D54E \mathbbW
D54F \mathbbX
D550 \mathbbY
D552 \mathbba
D553 \mathbbb
D554 \mathbbc
D555 \mathbbd
D556 \mathbbe
D557 \mathbbf
D558 \mathbbg
D559 \mathbbh
D55A \mathbbi
D55B \mathbbj
D55C \mathbbk
D55D \mathbbl
D55E \mathbbm
D55F \mathbbn
D560 \mathbbo
D561 \mathbbp
D562 \mathbbq
D563 \mathbbr
D564 \mathbbs
D565 \mathbbt
D566 \mathbbu
D567 \mathbbv
D568 \mathbbw
D569 \mathbbx
D56A \mathbby
D56B \mathbbz
D56C \mathslbbA
D56D \mathslbbB
D56E \mathslbbC
D56F \mathslbbD
D570 \mathslbbE
D571 \mathslbbF
D572 \mathslbbG
D573 \mathslbbH
D574 \mathslbbI
D575 \mathslbbJ
D576 \mathslbbK
D577 \mathslbbL
D578 \mathslbbM
D579 \mathslbbN
D57A \mathslbbO
D57B \mathslbbP
D57C \mathslbbQ
D57D \mathslbbR
D57E \mathslbbS
D57F \mathslbbT
D580 \mathslbbU
D581 \mathslbbV
D582 \mathslbbW
D583 \mathslbbX
D584 \mathslbbY
D585 \mathslbbZ
D586 \mathslbba
D587 \mathslbbb
D588 \mathslbbc
D589 \mathslbbd
D58A \mathslbbe
D58B \mathslbbf
D58C \mathslbbg
D58D \mathslbbh
D58E \mathslbbi
D58F \mathslbbj
D590 \mathslbbk
D591 \mathslbbl
D592 \mathslbbm
D593 \mathslbbn
D594 \mathslbbo
D595 \mathslbbp
D596 \mathslbbq
D597 \mathslbbr
D598 \mathslbbs
D599 \mathslbbt
D59A \mathslbbu
D59B \mathslbbv
D59C \mathslbbw
D59D \mathslbbx
D59E \mathslbby
D59F \mathslbbz
D5A0 \mathsfA
D5A1 \mathsfB
D5A2 \mathsfC
D5A3 \mathsfD
D5A4 \mathsfE
D5A5 \mathsfF
D5A6 \mathsfG
D5A7 \mathsfH
D5A8 \mathsfI
D5A9 \mathsfJ
D5AA \mathsfK
D5AB \mathsfL
D5AC \mathsfM
D5AD \mathsfN
D5AE \mathsfO
D5AF \mathsfP
D5B0 \mathsfQ
D5B1 \mathsfR
D5B2 \mathsfS
D5B3 \mathsfT
D5B4 \mathsfU
D5B5 \mathsfV
D5B6 \mathsfW
D5B7 \mathsfX
D5B8 \mathsfY
D5B9 \mathsfZ
D5BA \mathsfa
D5BB \mathsfb
D5BC \mathsfc
D5BD \mathsfd
D5BE \mathsfe
D5BF \mathsff
D5C0 \mathsfg
D5C1 \mathsfh
D5C2 \mathsfi
D5C3 \mathsfj
D5C4 \mathsfk
D5C5 \mathsfl
D5C6 \mathsfm
D5C7 \mathsfn
D5C8 \mathsfo
D5C9 \mathsfp
D5CA \mathsfq
D5CB \mathsfr
D5CC \mathsfs
D5CD \mathsft
D5CE \mathsfu
D5CF \mathsfv
D5D0 \mathsfw
D5D1 \mathsfx
D5D2 \mathsfy
D5D3 \mathsfz
D5D4 \mathsfbfA
D5D5 \mathsfbfB
D5D6 \mathsfbfC
D5D7 \mathsfbfD
D5D8 \mathsfbfE
D5D9 \mathsfbfF
D5DA \mathsfbfG
D5DB \mathsfbfH
D5DC \mathsfbfI
D5DD \mathsfbfJ
D5DE \mathsfbfK
D5DF \mathsfbfL
D5E0 \mathsfbfM
D5E1 \mathsfbfN
D5E2 \mathsfbfO
D5E3 \mathsfbfP
D5E4 \mathsfbfQ
D5E5 \mathsfbfR
D5E6 \mathsfbfS
D5E7 \mathsfbfT
D5E8 \mathsfbfU
D5E9 \mathsfbfV
D5EA \mathsfbfW
D5EB \mathsfbfX
D5EC \mathsfbfY
D5ED \mathsfbfZ
D5EE \mathsfbfa
D5EF \mathsfbfb
D5F0 \mathsfbfc
D5F1 \mathsfbfd
D5F2 \mathsfbfe
D5F3 \mathsfbff
D5F4 \mathsfbfg
D5F5 \mathsfbfh
D5F6 \mathsfbfi
D5F7 \mathsfbfj
D5F8 \mathsfbfk
D5F9 \mathsfbfl
D5FA \mathsfbfm
D5FB \mathsfbfn
D5FC \mathsfbfo
D5FD \mathsfbfp
D5FE \mathsfbfq
D5FF \mathsfbfr
D600 \mathsfbfs
D601 \mathsfbft
D602 \mathsfbfu
D603 \mathsfbfv
D604 \mathsfbfw
D605 \mathsfbfx
D606 \mathsfbfy
D607 \mathsfbfz
D608 \mathsfslA
D609 \mathsfslB
D60A \mathsfslC
D60B \mathsfslD
D60C \mathsfslE
D60D \mathsfslF
D60E \mathsfslG
D60F \mathsfslH
D610 \mathsfslI
D611 \mathsfslJ
D612 \mathsfslK
D613 \mathsfslL
D614 \mathsfslM
D615 \mathsfslN
D616 \mathsfslO
D617 \mathsfslP
D618 \mathsfslQ
D619 \mathsfslR
D61A \mathsfslS
D61B \mathsfslT
D61C \mathsfslU
D61D \mathsfslV
D61E \mathsfslW
D61F \mathsfslX
D620 \mathsfslY
D621 \mathsfslZ
D622 \mathsfsla
D623 \mathsfslb
D624 \mathsfslc
D625 \mathsfsld
D626 \mathsfsle
D627 \mathsfslf
D628 \mathsfslg
D629 \mathsfslh
D62A \mathsfsli
D62B \mathsfslj
D62C \mathsfslk
D62D \mathsfsll
D62E \mathsfslm
D62F \mathsfsln
D630 \mathsfslo
D631 \mathsfslp
D632 \mathsfslq
D633 \mathsfslr
D634 \mathsfsls
D635 \mathsfslt
D636 \mathsfslu
D637 \mathsfslv
D638 \mathsfslw
D639 \mathsfslx
D63A \mathsfsly
D63B \mathsfslz
D63C \mathsfbfslA
D63D \mathsfbfslB
D63E \mathsfbfslC
D63F \mathsfbfslD
D640 \mathsfbfslE
D641 \mathsfbfslF
D642 \mathsfbfslG
D643 \mathsfbfslH
D644 \mathsfbfslI
D645 \mathsfbfslJ
D646 \mathsfbfslK
D647 \mathsfbfslL
D648 \mathsfbfslM
D649 \mathsfbfslN
D64A \mathsfbfslO
D64B \mathsfbfslP
D64C \mathsfbfslQ
D64D \mathsfbfslR
D64E \mathsfbfslS
D64F \mathsfbfslT
D650 \mathsfbfslU
D651 \mathsfbfslV
D652 \mathsfbfslW
D653 \mathsfbfslX
D654 \mathsfbfslY
D655 \mathsfbfslZ
D656 \mathsfbfsla
D657 \mathsfbfslb
D658 \mathsfbfslc
D659 \mathsfbfsld
D65A \mathsfbfsle
D65B \mathsfbfslf
D65C \mathsfbfslg
D65D \mathsfbfslh
D65E \mathsfbfsli
D65F \mathsfbfslj
D660 \mathsfbfslk
D661 \mathsfbfsll
D662 \mathsfbfslm
D663 \mathsfbfsln
D664 \mathsfbfslo
D665 \mathsfbfslp
D666 \mathsfbfslq
D667 \mathsfbfslr
D668 \mathsfbfsls
D669 \mathsfbfslt
D66A \mathsfbfslu
D66B \mathsfbfslv
D66C \mathsfbfslw
D66D \mathsfbfslx
D66E \mathsfbfsly
D66F \mathsfbfslz
D670 \mathttA
D671 \mathttB
D672 \mathttC
D673 \mathttD
D674 \mathttE
D675 \mathttF
D676 \mathttG
D677 \mathttH
D678 \mathttI
D679 \mathttJ
D67A \mathttK
D67B \mathttL
D67C \mathttM
D67D \mathttN
D67E \mathttO
D67F \mathttP
D680 \mathttQ
D681 \mathttR
D682 \mathttS
D683 \mathttT
D684 \mathttU
D685 \mathttV
D686 \mathttW
D687 \mathttX
D688 \mathttY
D689 \mathttZ
D68A \mathtta
D68B \mathttb
D68C \mathttc
D68D \mathttd
D68E \mathtte
D68F \mathttf
D690 \mathttg
D691 \mathtth
D692 \mathtti
D693 \mathttj
D694 \mathttk
D695 \mathttl
D696 \mathttm
D697 \mathttn
D698 \mathtto
D699 \mathttp
D69A \mathttq
D69B \mathttr
D69C \mathtts
D69D \mathttt
D69E \mathttu
D69F \mathttv
D6A0 \mathttw
D6A1 \mathttx
D6A2 \mathtty
D6A3 \mathttz
D6A8 \mathbf{\Alpha}
D6A9 \mathbf{\Beta}
D6AA \mathbf{\Gamma}
D6AB \mathbf{\Delta}
D6AC \mathbf{\Epsilon}
D6AD \mathbf{\Zeta}
D6AE \mathbf{\Eta}
D6AF \mathbf{\Theta}
D6B0 \mathbf{\Iota}
D6B1 \mathbf{\Kappa}
D6B2 \mathbf{\Lambda}
D6B5 \mathbf{\Xi}
D6B7 \mathbf{\Pi}
D6B8 \mathbf{\Rho}
D6B9 \mathbf{\vartheta}
D6BA \mathbf{\Sigma}
D6BB \mathbf{\Tau}
D6BC \mathbf{\Upsilon}
D6BD \mathbf{\Phi}
D6BE \mathbf{\Chi}
D6BF \mathbf{\Psi}
D6C0 \mathbf{\Omega}
D6C1 \mathbf{\nabla}
D6C2 \mathbf{\Alpha}
D6C3 \mathbf{\Beta}
D6C4 \mathbf{\Gamma}
D6C5 \mathbf{\Delta}
D6C6 \mathbf{\Epsilon}
D6C7 \mathbf{\Zeta}
D6C8 \mathbf{\Eta}
D6C9 \mathbf{\theta}
D6CA \mathbf{\Iota}
D6CB \mathbf{\Kappa}
D6CC \mathbf{\Lambda}
D6CF \mathbf{\Xi}
D6D1 \mathbf{\Pi}
D6D2 \mathbf{\Rho}
D6D3 \mathbf{\varsigma}
D6D4 \mathbf{\Sigma}
D6D5 \mathbf{\Tau}
D6D6 \mathbf{\Upsilon}
D6D7 \mathbf{\Phi}
D6D8 \mathbf{\Chi}
D6D9 \mathbf{\Psi}
D6DA \mathbf{\Omega}
D6DB \partial 
D6DC \in
D6DD \mathbf{\vartheta}
D6DE \mathbf{\varkappa}
D6DF \mathbf{\phi}
D6E0 \mathbf{\varrho}
D6E1 \mathbf{\varpi}
D6E2 \mathsl{\Alpha}
D6E3 \mathsl{\Beta}
D6E4 \mathsl{\Gamma}
D6E5 \mathsl{\Delta}
D6E6 \mathsl{\Epsilon}
D6E7 \mathsl{\Zeta}
D6E8 \mathsl{\Eta}
D6E9 \mathsl{\Theta}
D6EA \mathsl{\Iota}
D6EB \mathsl{\Kappa}
D6EC \mathsl{\Lambda}
D6EF \mathsl{\Xi}
D6F1 \mathsl{\Pi}
D6F2 \mathsl{\Rho}
D6F3 \mathsl{\vartheta}
D6F4 \mathsl{\Sigma}
D6F5 \mathsl{\Tau}
D6F6 \mathsl{\Upsilon}
D6F7 \mathsl{\Phi}
D6F8 \mathsl{\Chi}
D6F9 \mathsl{\Psi}
D6FA \mathsl{\Omega}
D6FB \mathsl{\nabla}
D6FC \mathsl{\Alpha}
D6FD \mathsl{\Beta}
D6FE \mathsl{\Gamma}
D6FF \mathsl{\Delta}
D700 \mathsl{\Epsilon}
D701 \mathsl{\Zeta}
D702 \mathsl{\Eta}
D703 \mathsl{\Theta}
D704 \mathsl{\Iota}
D705 \mathsl{\Kappa}
D706 \mathsl{\Lambda}
D709 \mathsl{\Xi}
D70B \mathsl{\Pi}
D70C \mathsl{\Rho}
D70D \mathsl{\varsigma}
D70E \mathsl{\Sigma}
D70F \mathsl{\Tau}
D710 \mathsl{\Upsilon}
D711 \mathsl{\Phi}
D712 \mathsl{\Chi}
D713 \mathsl{\Psi}
D714 \mathsl{\Omega}
D715 \partial 
D716 \in
D717 \mathsl{\vartheta}
D718 \mathsl{\varkappa}
D719 \mathsl{\phi}
D71A \mathsl{\varrho}
D71B \mathsl{\varpi}
D71C \mathbit{\Alpha}
D71D \mathbit{\Beta}
D71E \mathbit{\Gamma}
D71F \mathbit{\Delta}
D720 \mathbit{\Epsilon}
D721 \mathbit{\Zeta}
D722 \mathbit{\Eta}
D723 \mathbit{\Theta}
D724 \mathbit{\Iota}
D725 \mathbit{\Kappa}
D726 \mathbit{\Lambda}
D729 \mathbit{\Xi}
D72B \mathbit{\Pi}
D72C \mathbit{\Rho}
D72D \mathbitO
D72E \mathbit{\Sigma}
D72F \mathbit{\Tau}
D730 \mathbit{\Upsilon}
D731 \mathbit{\Phi}
D732 \mathbit{\Chi}
D733 \mathbit{\Psi}
D734 \mathbit{\Omega}
D735 \mathbit{\nabla}
D736 \mathbit{\Alpha}
D737 \mathbit{\Beta}
D738 \mathbit{\Gamma}
D739 \mathbit{\Delta}
D73A \mathbit{\Epsilon}
D73B \mathbit{\Zeta}
D73C \mathbit{\Eta}
D73D \mathbit{\Theta}
D73E \mathbit{\Iota}
D73F \mathbit{\Kappa}
D740 \mathbit{\Lambda}
D743 \mathbit{\Xi}
D745 \mathbit{\Pi}
D746 \mathbit{\Rho}
D747 \mathbit{\varsigma}
D748 \mathbit{\Sigma}
D749 \mathbit{\Tau}
D74A \mathbit{\Upsilon}
D74B \mathbit{\Phi}
D74C \mathbit{\Chi}
D74D \mathbit{\Psi}
D74E \mathbit{\Omega}
D74F \partial 
D750 \in
D751 \mathbit{\vartheta}
D752 \mathbit{\varkappa}
D753 \mathbit{\phi}
D754 \mathbit{\varrho}
D755 \mathbit{\varpi}
D756 \mathsfbf{\Alpha}
D757 \mathsfbf{\Beta}
D758 \mathsfbf{\Gamma}
D759 \mathsfbf{\Delta}
D75A \mathsfbf{\Epsilon}
D75B \mathsfbf{\Zeta}
D75C \mathsfbf{\Eta}
D75D \mathsfbf{\Theta}
D75E \mathsfbf{\Iota}
D75F \mathsfbf{\Kappa}
D760 \mathsfbf{\Lambda}
D763 \mathsfbf{\Xi}
D765 \mathsfbf{\Pi}
D766 \mathsfbf{\Rho}
D767 \mathsfbf{\vartheta}
D768 \mathsfbf{\Sigma}
D769 \mathsfbf{\Tau}
D76A \mathsfbf{\Upsilon}
D76B \mathsfbf{\Phi}
D76C \mathsfbf{\Chi}
D76D \mathsfbf{\Psi}
D76E \mathsfbf{\Omega}
D76F \mathsfbf{\nabla}
D770 \mathsfbf{\Alpha}
D771 \mathsfbf{\Beta}
D772 \mathsfbf{\Gamma}
D773 \mathsfbf{\Delta}
D774 \mathsfbf{\Epsilon}
D775 \mathsfbf{\Zeta}
D776 \mathsfbf{\Eta}
D777 \mathsfbf{\Theta}
D778 \mathsfbf{\Iota}
D779 \mathsfbf{\Kappa}
D77A \mathsfbf{\Lambda}
D77D \mathsfbf{\Xi}
D77F \mathsfbf{\Pi}
D780 \mathsfbf{\Rho}
D781 \mathsfbf{\varsigma}
D782 \mathsfbf{\Sigma}
D783 \mathsfbf{\Tau}
D784 \mathsfbf{\Upsilon}
D785 \mathsfbf{\Phi}
D786 \mathsfbf{\Chi}
D787 \mathsfbf{\Psi}
D788 \mathsfbf{\Omega}
D789 \partial 
D78A \in
D78B \mathsfbf{\vartheta}
D78C \mathsfbf{\varkappa}
D78D \mathsfbf{\phi}
D78E \mathsfbf{\varrho}
D78F \mathsfbf{\varpi}
D790 \mathsfbfsl{\Alpha}
D791 \mathsfbfsl{\Beta}
D792 \mathsfbfsl{\Gamma}
D793 \mathsfbfsl{\Delta}
D794 \mathsfbfsl{\Epsilon}
D795 \mathsfbfsl{\Zeta}
D796 \mathsfbfsl{\Eta}
D797 \mathsfbfsl{\vartheta}
D798 \mathsfbfsl{\Iota}
D799 \mathsfbfsl{\Kappa}
D79A \mathsfbfsl{\Lambda}
D79D \mathsfbfsl{\Xi}
D79F \mathsfbfsl{\Pi}
D7A0 \mathsfbfsl{\Rho}
D7A1 \mathsfbfsl{\vartheta}
D7A2 \mathsfbfsl{\Sigma}
D7A3 \mathsfbfsl{\Tau}
D7A4 \mathsfbfsl{\Upsilon}
D7A5 \mathsfbfsl{\Phi}
D7A6 \mathsfbfsl{\Chi}
D7A7 \mathsfbfsl{\Psi}
D7A8 \mathsfbfsl{\Omega}
D7A9 \mathsfbfsl{\nabla}
D7AA \mathsfbfsl{\Alpha}
D7AB \mathsfbfsl{\Beta}
D7AC \mathsfbfsl{\Gamma}
D7AD \mathsfbfsl{\Delta}
D7AE \mathsfbfsl{\Epsilon}
D7AF \mathsfbfsl{\Zeta}
D7B0 \mathsfbfsl{\Eta}
D7B1 \mathsfbfsl{\vartheta}
D7B2 \mathsfbfsl{\Iota}
D7B3 \mathsfbfsl{\Kappa}
D7B4 \mathsfbfsl{\Lambda}
D7B7 \mathsfbfsl{\Xi}
D7B9 \mathsfbfsl{\Pi}
D7BA \mathsfbfsl{\Rho}
D7BB \mathsfbfsl{\varsigma}
D7BC \mathsfbfsl{\Sigma}
D7BD \mathsfbfsl{\Tau}
D7BE \mathsfbfsl{\Upsilon}
D7BF \mathsfbfsl{\Phi}
D7C0 \mathsfbfsl{\Chi}
D7C1 \mathsfbfsl{\Psi}
D7C2 \mathsfbfsl{\Omega}
D7C3 \partial 
D7C4 \in
D7C5 \mathsfbfsl{\vartheta}
D7C6 \mathsfbfsl{\varkappa}
D7C7 \mathsfbfsl{\phi}
D7C8 \mathsfbfsl{\varrho}
D7C9 \mathsfbfsl{\varpi}
D7CE \mathbf0
D7CF \mathbf1
D7D0 \mathbf2
D7D1 \mathbf3
D7D2 \mathbf4
D7D3 \mathbf5
D7D4 \mathbf6
D7D5 \mathbf7
D7D6 \mathbf8
D7D7 \mathbf9
D7D8 \mathbb0
D7D9 \mathbb1
D7DA \mathbb2
D7DB \mathbb3
D7DC \mathbb4
D7DD \mathbb5
